round,alive_nodes,node_id,remaining_energy_j
11,100,88,1.967858
11,100,89,1.985172
11,100,90,1.965646
11,100,91,1.988256
11,100,92,1.993438
11,100,93,1.966235
11,100,94,1.993328
11,100,95,1.985937
11,100,96,1.982736
11,100,97,1.990535
11,100,98,1.951402
11,100,99,1.971536
12,100,0,1.987797
12,100,1,1.986499
12,100,2,1.966508
12,100,3,1.99263
12,100,4,1.888909
12,100,5,1.99305
12,100,6,1.987011
12,100,7,1.992207
12,100,8,1.975044
12,100,9,1.970771
12,100,10,1.991796
12,100,11,1.867717
12,100,12,1.954628
12,100,13,1.985776
12,100,14,1.858745
12,100,15,1.956893
12,100,16,1.983293
12,100,17,1.99116
12,100,18,1.983088
12,100,19,1.98833
12,100,20,1.942365
12,100,21,1.934203
12,100,22,1.942619
12,100,23,1.987241
12,100,24,1.959834
12,100,25,1.98861
12,100,26,1.934931
12,100,27,1.985718
12,100,28,1.970167
12,100,29,1.977271
12,100,30,1.959126
12,100,31,1.98841
12,100,32,1.950839
12,100,33,1.971945
12,100,34,1.899063
12,100,35,1.783472
12,100,36,1.966232
12,100,37,1.979901
12,100,38,1.986274
12,100,39,1.988513
12,100,40,1.945326
12,100,41,1.865894
12,100,42,1.973589
12,100,43,1.964555
12,100,44,1.96109
12,100,45,1.965801
12,100,46,1.970782
12,100,47,1.989011
12,100,48,1.980348
12,100,49,1.809625
12,100,50,1.94878
12,100,51,1.987581
12,100,52,1.963577
12,100,53,1.952611
12,100,54,1.985708
12,100,55,1.981064
12,100,56,1.971833
12,100,57,1.846355
12,100,58,1.991534
12,100,59,1.936703
12,100,60,1.984514
12,100,61,1.952422
12,100,62,1.988088
12,100,63,1.934901
12,100,64,1.986427
12,100,65,1.987357
12,100,66,1.9882
12,100,67,1.935625
12,100,68,1.992694
12,100,69,1.99231
12,100,70,1.966885
12,100,71,1.992417
12,100,72,1.928767
12,100,73,1.990694
12,100,74,1.992509
12,100,75,1.964392
12,100,76,1.929864
12,100,77,1.991387
12,100,78,1.992657
12,100,79,1.988581
12,100,80,1.98451
12,100,81,1.990608
12,100,82,1.992605
12,100,83,1.983847
12,100,84,1.978564
12,100,85,1.972602
12,100,86,1.971783
12,100,87,1.992528
12,100,88,1.966647
12,100,89,1.984627
12,100,90,1.965257
12,100,91,1.987925
12,100,92,1.991664
12,100,93,1.965633
12,100,94,1.993084
12,100,95,1.985064
12,100,96,1.982416
12,100,97,1.990326
12,100,98,1.949677
12,100,99,1.970535
13,100,0,1.986831
13,100,1,1.984381
13,100,2,1.963173
13,100,3,1.988779
13,100,4,1.88849
13,100,5,1.992727
13,100,6,1.986796
13,100,7,1.991983
13,100,8,1.97401
13,100,9,1.968091
13,100,10,1.991414
13,100,11,1.801679
13,100,12,1.954301
13,100,13,1.985414
13,100,14,1.85837
13,100,15,1.955126
13,100,16,1.978884
13,100,17,1.990801
13,100,18,1.982358
13,100,19,1.986676
13,100,20,1.941862
13,100,21,1.933816
13,100,22,1.941018
13,100,23,1.986339
13,100,24,1.959571
13,100,25,1.988167
13,100,26,1.903429
13,100,27,1.984261
13,100,28,1.969856
13,100,29,1.976872
13,100,30,1.955819
13,100,31,1.987907
13,100,32,1.949983
13,100,33,1.97169
13,100,34,1.898692
13,100,35,1.780616
13,100,36,1.965975
13,100,37,1.979591
13,100,38,1.985571
13,100,39,1.988304
13,100,40,1.94477
13,100,41,1.865533
13,100,42,1.968932
13,100,43,1.947158
13,100,44,1.960698
13,100,45,1.949032
13,100,46,1.970526
13,100,47,1.988789
13,100,48,1.980127
13,100,49,1.809173
13,100,50,1.94843
13,100,51,1.977773
13,100,52,1.94973
13,100,53,1.951847
13,100,54,1.985433
13,100,55,1.977766
13,100,56,1.970923
13,100,57,1.8435
13,100,58,1.991179
13,100,59,1.935928
13,100,60,1.979197
13,100,61,1.952181
13,100,62,1.98464
13,100,63,1.933414
